"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20060101","2006","1","200601","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","10197.745","true","0","false",,"3873253","3873253","4","false","true",
"C","M","20060101","2006","1","200601","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1171942.575","1171942.575","0","false","true",
"C","M","20060101","2006","1","200601","222","SLV","El Salvador","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","5250","5250","0","false","true",
"C","M","20060101","2006","1","200601","233","EST","Estonia","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1337775.475","true","0","false","0","3212038.97","3212038.97","4","false","true",
"C","M","20060101","2006","1","200601","251","FRA","France","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","692019.281","true","0","false","0","541079977.08","541079977.08","4","false","true",
"C","M","20060101","2006","1","200601","372","IRL","Ireland","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","354717329.227","354717329.227","0","false","true",
"C","M","20060101","2006","1","200601","380","ITA","Italy","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","338612.463","true","0","false","0","191300019.145","191300019.145","4","false","true",
"C","M","20060101","2006","1","200601","428","LVA","Latvia","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","333183.61","333183.61","0","false","true",
"C","M","20060101","2006","1","200601","440","LTU","Lithuania","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","6334.9","false","0","false","0","742037","742037","0","false","true",
"C","M","20060101","2006","1","200601","446","MAC","China, Macao SAR","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","98438.046","98438.046","0","false","true",
"C","M","20060101","2006","1","200601","450","MDG","Madagascar","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17","false","0","false","0","4152.853","4152.853","0","false","true",
"C","M","20060101","2006","1","200601","454","MWI","Malawi","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2","false","0","false",,"6.075","6.075","0","false","true",
"C","M","20060101","2006","1","200601","504","MAR","Morocco","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","4937.019","true","0","false","0","316640.585","316640.585","4","false","true",
"C","M","20060101","2006","1","200601","579","NOR","Norway","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","9479","false","0","false","0","6947708.06","6947708.06","2","false","true",
"C","M","20060101","2006","1","200601","616","POL","Poland","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","96852.512","true","0","false","0","16335314","16335314","4","false","true",
"C","M","20060101","2006","1","200601","642","ROU","Romania","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","216381.44","false","0","false","0","5193579.98","5193579.98","0","false","true",
"C","M","20060101","2006","1","200601","716","ZWE","Zimbabwe","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","3","false","0","false",,"221.11","221.11","2","false","true",
"C","M","20060101","2006","1","200601","724","ESP","Spain","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","52859212.655","52859212.655","6","false","true",
"C","M","20060101","2006","1","200601","757","CHE","Switzerland","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","39527.272","true","0","false","0","33508952.968","33508952.968","6","false","true",
"C","M","20060101","2006","1","200601","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","12993","false","0","false","0","734357","734357","0","false","true",
"C","M","20060101","2006","1","200601","807","MKD","North Macedonia","X","Export","0","W00","World","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false","0","false","0","false","0","221.59","221.59","0","false","true",
"C","M","20060101","2006","1","200601","76","BRA","Brazil","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","173693.273","true","-1","N/A","0","false","289.909","true","0","false",,"272938","272938","6","false","true",
"C","M","20060101","2006","1","200601","152","CHL","Chile","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","61.675","61.675","0","false","true",
"C","M","20060101","2006","1","200601","251","FRA","France","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","7045.204","true","0","false","0","38120163.401","38120163.401","6","false","true",
"C","M","20060101","2006","1","200601","372","IRL","Ireland","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","15457.37","true","0","false","0","7345237.046","7345237.046","4","false","true",
"C","M","20060101","2006","1","200601","380","ITA","Italy","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","370110.175","true","-1","N/A","0","false","428.151","true","0","false","0","1060402.214","1060402.214","6","false","true",
"C","M","20060101","2006","1","200601","428","LVA","Latvia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","52922","false","5","u","52922","false","3","false","0","false","0","125430.854","125430.854","0","false","true",
"C","M","20060101","2006","1","200601","446","MAC","China, Macao SAR","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H2","HS","true","8542","Electronic integrated circuits and microassemblies","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","2808.724","2808.724","0","false","true",
