Period,uncertainty
2010-07-01,0.04336262120130519
2010-08-01,0.5575303792741494
2010-09-01,0.05823534766213463
2010-10-01,0.26164725675822637
2010-11-01,0.010755713981318814
2010-12-01,0.01888391052027705
2011-01-01,0.2622691705190781
2011-02-01,0.023023080549036783
2011-03-01,0.01030207934585771
2011-04-01,0.32634536716533735
2011-05-01,0.7999836295077779
2011-06-01,0.10452138500802849
2011-07-01,0.08725723577589291
2011-08-01,0.008638826379722905
2011-09-01,0.18235045251431037
2011-10-01,0.020221338634569118
2011-11-01,0.2781029551257359
2011-12-01,0.18398857557529655
2012-01-01,0.09500839257890463
2012-02-01,0.12069768752364832
2012-03-01,0.2520445772392464
2012-04-01,0.4764661053308749
2012-05-01,0.022652319518562253
2012-06-01,0.029434397205914817
2012-07-01,0.08677599050895195
2012-08-01,0.3094059693042167
2012-09-01,0.2035545961175721
2012-10-01,0.39807627365607606
2012-11-01,0.2663272078917713
2012-12-01,0.24912191398015285
2013-01-01,0.29289900557026244
2013-02-01,0.015137866049222116
2013-03-01,0.3730028887279156
2013-04-01,0.25661677233640157
2013-05-01,0.010034881538344443
2013-06-01,0.20899141331374665
2013-07-01,0.0180070204755554
2013-08-01,0.03957476628728435
2013-09-01,0.23942532546786793
2013-10-01,0.39181455965125056
2013-11-01,0.08240637472714268
2013-12-01,0.056069041995166845
2014-01-01,0.0040246749344909115
2014-02-01,1.042112367129661
2014-03-01,0.6704025831975842
2014-04-01,0.1596749811038116
2014-05-01,0.07809504509014926
2014-06-01,0.044491401969346644
2014-07-01,0.6972275336347799
2014-08-01,0.6783471541779758
2014-09-01,0.04672089061610242
2014-10-01,0.6137933069808792
2014-11-01,0.677107917597812
2014-12-01,0.1822548412214681
2015-01-01,0.29385950727591464
2015-02-01,0.19750173028142964
2015-03-01,0.010757237163119892
2015-04-01,0.40953065038468334
2015-05-01,0.0950738242725872
2015-06-01,0.1042546532596027
2015-07-01,0.03385031246161752
2015-08-01,0.3612144158477547
2015-09-01,0.03703623963282579
2015-10-01,0.41662372683373783
2015-11-01,0.01071485336823654
2015-12-01,0.059965150201598746
2016-01-01,0.05414058389244203
2016-02-01,0.0551537879910998
2016-03-01,0.13589735922694654
2016-04-01,0.14098866491683243
2016-05-01,0.536162568616387
2016-06-01,0.05970507304839756
2016-07-01,0.437399427353147
2016-08-01,0.19493618851667313
2016-09-01,0.019416664526507785
2016-10-01,0.18248419679012678
2016-11-01,0.11974183716933672
2016-12-01,0.11059557615927795
2017-01-01,0.21183503582711918
2017-02-01,0.07023214445789351
2017-03-01,0.05111586376015963
2017-04-01,0.09780378447739567
2017-05-01,0.06176219505860908
2017-06-01,0.009088055594743783
2017-07-01,0.09566957489197302
2017-08-01,0.11353830130476623
2017-09-01,0.22897822745482804
2017-10-01,0.2692857320290678
2017-11-01,0.07370671804940544
2017-12-01,0.07762831545219495
2018-01-01,0.363085530070116
2018-02-01,0.5034207273361865
2018-03-01,0.00833914948275201
2018-04-01,0.2284015200387197
2018-05-01,0.09700679818472226
2018-06-01,0.09879387091703859
2018-07-01,0.08746013266949179
2018-08-01,0.44043902743420676
2018-09-01,0.17172796183137987
2018-10-01,0.03373809886118665
2018-11-01,0.04274811730330621
2018-12-01,0.06514632890670416
2019-01-01,0.1313505694577545
2019-02-01,0.07364474998615309
2019-03-01,0.37016113530711436
2019-04-01,0.3193289188546045
2019-05-01,0.1959241278780499
2019-06-01,0.10656619282244467
2019-07-01,0.11345655226550141
2019-08-01,0.025084766039666334
2019-09-01,0.06424734479876343
2019-10-01,0.05940251889454099
2019-11-01,0.1728811143492766
2019-12-01,0.05237220916911592
2020-01-01,0.11121047851156825
2020-02-01,0.5298306760849948
2020-03-01,0.04463584100899603
2020-04-01,0.29412382805906506
2020-05-01,0.41467746354291757
2020-06-01,0.7388598188985182
2020-07-01,0.24677691038624816
2020-08-01,0.10001967091446441
2020-09-01,0.2855789024314967
2020-10-01,0.24151438291263258
2020-11-01,0.1087370816254873
2020-12-01,2.102848436313135
2021-01-01,0.11993128045000552
2021-02-01,0.2940914935121129
2021-03-01,0.09453846746676423
2021-04-01,0.5535117855040245
2021-05-01,0.8725532233361014
2021-06-01,0.9818397924671675
2021-07-01,0.2361557739234973
2021-08-01,1.0850878623953368
2021-09-01,0.4711661257387073
2021-10-01,0.22982711456760316
2021-11-01,1.9489818731963895
2021-12-01,1.4321532811088442
2022-01-01,1.3040736635371177
2022-02-01,0.37164521090370384
2022-03-01,0.23575520741475925
2022-04-01,0.18948646210638942
2022-05-01,1.5999343611579961
2022-06-01,0.44384736368835764
2022-07-01,0.7604223815788526
2022-08-01,0.472782797680493
2022-09-01,1.6448224040015418
2022-10-01,0.11071816280084809
2022-11-01,0.17772915509917883
2022-12-01,0.24318130030785107
2023-01-01,0.30765429442413095
2023-02-01,2.7152446041407314
2023-03-01,0.5608380668919359
2023-04-01,0.4459417795922064
2023-05-01,0.23669075266112213
2023-06-01,0.47726685183973017
2023-07-01,1.402241938503804
2023-08-01,0.39646764180441846
