Period,ReporterISO,PartnerISO
2013,FIN,SWE
2013,FIN,THA
2013,FIN,GBR
2013,FIN,USA
2013,FRA,AUS
2013,FRA,AUT
2013,FRA,BEL
2013,FRA,BRA
2013,FRA,BGR
2013,FRA,CAN
2013,FRA,CHN
2013,FRA,CYP
2013,FRA,CZE
2013,FRA,DNK
2013,FRA,EST
2013,FRA,FIN
2013,FRA,DEU
2013,FRA,GRC
2013,FRA,HKG
2013,FRA,HUN
2013,FRA,IRL
2013,FRA,ISR
2013,FRA,ITA
2013,FRA,JPN
2013,FRA,KAZ
2013,FRA,KOR
2013,FRA,MYS
2013,FRA,MLT
2013,FRA,MEX
2013,FRA,TWN
2013,FRA,MAR
2013,FRA,NLD
2013,FRA,NZL
2013,FRA,NGA
2013,FRA,NOR
2013,FRA,PHL
2013,FRA,POL
2013,FRA,PRT
2013,FRA,ROU
2013,FRA,RUS
2013,FRA,SRB
2013,FRA,IND
2013,FRA,SGP
2013,FRA,SVK
2013,FRA,VNM
2013,FRA,ZAF
2013,FRA,ESP
2013,FRA,SWE
2013,FRA,CHE
2013,FRA,THA
2013,FRA,ARE
2013,FRA,TUN
2013,FRA,TUR
2013,FRA,MKD
2013,FRA,GBR
2013,FRA,USA
2013,DEU,ARG
2013,DEU,AUS
2013,DEU,AUT
2013,DEU,BEL
2013,DEU,BIH
2013,DEU,BRA
2013,DEU,BGR
2013,DEU,BLR
2013,DEU,CAN
2013,DEU,LKA
2013,DEU,CHN
2013,DEU,COL
2013,DEU,HRV
2013,DEU,CZE
2013,DEU,DNK
2013,DEU,EST
2013,DEU,FIN
2013,DEU,FRA
2013,DEU,GRC
2013,DEU,HKG
2013,DEU,HUN
2013,DEU,IDN
2013,DEU,IRL
2013,DEU,ISR
2013,DEU,ITA
2013,DEU,JPN
2013,DEU,KOR
2013,DEU,LVA
2013,DEU,LTU
2013,DEU,LUX
2013,DEU,MYS
2013,DEU,MLT
2013,DEU,MEX
2013,DEU,TWN
2013,DEU,MDA
2013,DEU,MAR
2013,DEU,NLD
2013,DEU,NZL
2013,DEU,NOR
2013,DEU,PHL
2013,DEU,POL
2013,DEU,PRT
2013,DEU,ROU
2013,DEU,RUS
2013,DEU,SAU
2013,DEU,SRB
2013,DEU,IND
2013,DEU,SGP
2013,DEU,SVK
2013,DEU,VNM
2013,DEU,SVN
2013,DEU,ZAF
2013,DEU,ESP
2013,DEU,SWE
2013,DEU,CHE
2013,DEU,THA
2013,DEU,ARE
2013,DEU,TUN
2013,DEU,TUR
2013,DEU,UKR
2013,DEU,MKD
2013,DEU,EGY
2013,DEU,GBR
2013,DEU,USA
2013,DEU,UZB
2013,GRC,DEU
2013,GRC,RUS
2013,HKG,ARG
2013,HKG,AUS
2013,HKG,AUT
2013,HKG,BEL
2013,HKG,BRA
2013,HKG,BGR
2013,HKG,BLR
2013,HKG,CAN
2013,HKG,CHN
2013,HKG,COL
2013,HKG,CUB
2013,HKG,CZE
2013,HKG,DNK
2013,HKG,ECU
2013,HKG,FIN
2013,HKG,FRA
2013,HKG,DEU
2013,HKG,HUN
2013,HKG,IDN
2013,HKG,IRN
2013,HKG,IRL
2013,HKG,ISR
2013,HKG,ITA
2013,HKG,JPN
2013,HKG,KAZ
2013,HKG,KOR
2013,HKG,LVA
2013,HKG,LTU
2013,HKG,MAC
2013,HKG,MYS
2013,HKG,MEX
2013,HKG,TWN
2013,HKG,MAR
2013,HKG,NLD
2013,HKG,NZL
2013,HKG,NOR
2013,HKG,PHL
2013,HKG,POL
2013,HKG,PRT
2013,HKG,ROU
2013,HKG,RUS
2013,HKG,IND
2013,HKG,SGP
2013,HKG,SVK
2013,HKG,VNM
2013,HKG,ZAF
2013,HKG,ESP
2013,HKG,SWE
2013,HKG,CHE
2013,HKG,THA
2013,HKG,ARE
2013,HKG,TUN
2013,HKG,TUR
2013,HKG,UKR
2013,HKG,EGY
2013,HKG,GBR
2013,HKG,USA
2013,HUN,AUT
2013,HUN,BEL
2013,HUN,BGR
2013,HUN,CAN
2013,HUN,CHN
2013,HUN,CYP
2013,HUN,CZE
2013,HUN,DNK
2013,HUN,EST
2013,HUN,FRA
2013,HUN,DEU
2013,HUN,HKG
2013,HUN,ISR
2013,HUN,ITA
2013,HUN,JPN
2013,HUN,MYS
2013,HUN,MEX
2013,HUN,NLD
2013,HUN,POL
2013,HUN,ROU
2013,HUN,RUS
2013,HUN,SRB
2013,HUN,SGP
2013,HUN,SVK
2013,HUN,ESP
2013,HUN,SWE
2013,HUN,CHE
2013,HUN,TUR
2013,HUN,UKR
2013,HUN,GBR
2013,HUN,USA
2013,IDN,CHN
2013,IDN,FRA
2013,IDN,DEU
2013,IDN,HKG
2013,IDN,JPN
2013,IDN,KOR
2013,IDN,MYS
2013,IDN,TWN
2013,IDN,PHL
2013,IDN,SGP
2013,IDN,USA
2013,IRL,CHN
2013,IRL,FRA
2013,IRL,DEU
2013,IRL,HKG
2013,IRL,ISR
2013,IRL,JPN
2013,IRL,KOR
2013,IRL,MYS
2013,IRL,TWN
2013,IRL,NLD
2013,IRL,PHL
2013,IRL,ROU
2013,IRL,RUS
2013,IRL,SGP
2013,IRL,ESP
2013,IRL,SWE
2013,IRL,THA
2013,IRL,GBR
2013,IRL,USA
2013,ISR,BEL
2013,ISR,CAN
2013,ISR,CHN
2013,ISR,CRI
2013,ISR,FIN
2013,ISR,FRA
2013,ISR,DEU
2013,ISR,HKG
2013,ISR,ITA
2013,ISR,JPN
2013,ISR,KOR
2013,ISR,MYS
2013,ISR,MEX
2013,ISR,TWN
2013,ISR,NLD
2013,ISR,PHL
2013,ISR,ROU
2013,ISR,IND
2013,ISR,SGP
2013,ISR,VNM
2013,ISR,SWE
2013,ISR,THA
2013,ISR,TUR
2013,ISR,GBR
2013,ISR,USA
2013,ITA,ALB
2013,ITA,AUS
2013,ITA,AUT
2013,ITA,BEL
2013,ITA,BRA
