Period,num_nodes,num_edges,density,clustering,assortativity,shortest_path
2010-01-01,168,1828,0.13031080695751354,0.7129979624095109,-0.4442600328199659,2.078984887368121
2010-02-01,172,1838,0.12498300013599892,0.760004791442876,-0.4687624337596851,2.0611995104039167
2010-03-01,171,1923,0.1323013415892673,0.7768341069928839,-0.4667971508668537,2.032542139662883
2010-04-01,170,1850,0.12878524190741386,0.7134535238132877,-0.467922017192079,2.069474416985729
2010-05-01,167,1876,0.13534377029074382,0.7732317653015641,-0.4628625070698106,2.0230863574056706
2010-06-01,172,1866,0.12688698490412076,0.7233826709388077,-0.4594552967005702,2.0624915000679995
2010-07-01,178,1892,0.12010410715419285,0.7391887742182912,-0.4875411508354795,2.057449374722275
2010-08-01,171,1866,0.1283797729618163,0.7547342389241484,-0.4694138708067088,2.0328173374613003
2010-09-01,174,1860,0.12357982858281842,0.7447421565094212,-0.4890713454985379,2.0524217659956148
2010-10-01,172,1883,0.12804297565619474,0.7618295448848633,-0.4757311536619843,2.0620835033319733
2010-11-01,172,1888,0.1283829729362165,0.7456137065020867,-0.47396434952132127,2.054263565891473
2010-12-01,170,1894,0.13184824225548208,0.744329466626539,-0.4697131879377794,2.041350504698921
2011-01-01,172,1883,0.12804297565619474,0.7319888151607729,-0.46826516129840534,2.0412756697946417
2011-02-01,172,1914,0.13015095879232966,0.7351076710602686,-0.45156847951770984,2.071535427716578
2011-03-01,176,1992,0.12935064935064935,0.7513518533044059,-0.4779060024601573,2.051168831168831
2011-04-01,178,1920,0.12188154637211959,0.7175682908028264,-0.4688404671491416,2.0825874436615246
2011-05-01,171,1953,0.13436532507739937,0.7731345832335582,-0.4683665836317438,2.0502923976608187
2011-06-01,171,1930,0.1327829377364981,0.7602730921364833,-0.4624759619892796,2.055245958032336
2011-07-01,172,1925,0.13089895280837754,0.7547446107439598,-0.4751402065924168,2.038827689378485
2011-08-01,177,1979,0.12705444273240885,0.7434653919401958,-0.4611448408942151,2.0630457113507963
2011-09-01,174,1957,0.13002458308418044,0.7383036046366983,-0.46144234454545613,2.04052886851372
2011-10-01,172,1937,0.13171494628042976,0.7536737234340237,-0.4806227505992584,2.0242078063375493
2011-11-01,176,1980,0.12857142857142856,0.772941750584635,-0.4854435351659076,2.040714285714286
2011-12-01,175,1924,0.1263711001642036,0.7507480438088094,-0.46926540261456756,2.0672577996715926
2012-01-01,170,1827,0.12718412808910545,0.7519802601696622,-0.48299213096199783,2.044413505046989
2012-02-01,169,1889,0.13306565229642153,0.7520284401568207,-0.4589867441040115,2.0346576500422655
2012-03-01,172,1947,0.13239494084047326,0.7505706235700361,-0.4686155114068038,2.052155582755338
2012-04-01,172,1897,0.12899496804025568,0.7774664384249327,-0.476049229279709,2.0398476812185504
2012-05-01,175,1969,0.12932676518883415,0.7574575479892599,-0.4693377905093609,2.029031198686371
2012-06-01,171,1940,0.13347093223254214,0.7637370050016088,-0.4648904343975114,2.0011695906432747
2012-07-01,179,1979,0.12422321260435629,0.7617095068191858,-0.4650756309571689,2.039482769443224
2012-08-01,178,1933,0.12270678600901416,0.7207261651994612,-0.4592102623874335,2.090268520281851
2012-09-01,179,1953,0.12259117443977151,0.7306891442922968,-0.47101059959372393,2.0547988199108658
2012-10-01,172,1929,0.13117095063239495,0.7651693153287249,-0.4707804770914436,2.0106079151366787
2012-11-01,172,1898,0.12906296749626003,0.7247771263128714,-0.4637848685691962,2.045763633890929
2012-12-01,169,1868,0.13158636235559312,0.7354992370243912,-0.456418756372748,2.0316990701606086
2013-01-01,174,1945,0.1292272938675171,0.7515467889866813,-0.46767541895778575,2.0223240980665738
2013-02-01,169,1905,0.1341927303465765,0.7741836926315193,-0.46549673538362407,2.011200338123415
2013-03-01,178,2009,0.1275312638862439,0.755267966100906,-0.4627416874983388,2.0569415349457247
2013-04-01,175,1956,0.12847290640394088,0.7234565560589994,-0.45635306677295934,2.0477504105090314
2013-05-01,178,1956,0.12416682536659684,0.7251853029993264,-0.4321971566386119,2.0711610486891385
2013-06-01,174,1954,0.1298252607800146,0.766879067562117,-0.4733740840069122,2.024782406484619
2013-07-01,177,1988,0.12763225475089882,0.7456698055064126,-0.4501337168348989,2.0511684643040575
2013-08-01,179,1926,0.12089636557654887,0.7265723830728618,-0.4549747015167411,2.0766430230368464
2013-09-01,169,1945,0.13701042547196393,0.7638122364087864,-0.4508766293553512,2.0324739363200903
2013-10-01,174,2055,0.13653577835359776,0.7706546495521875,-0.4721459459616284,2.00956747059996
2013-11-01,176,2011,0.13058441558441558,0.7690835877655033,-0.4643388646639233,2.0268831168831167
2013-12-01,172,1963,0.13348293213654291,0.7590490174290072,-0.46626315611538116,2.0195158438732492
2014-01-01,170,1929,0.1342847198050818,0.764908501821415,-0.4689244645781614,2.0153846153846153
2014-02-01,180,1971,0.1223463687150838,0.6981794520892892,-0.45505094465940316,2.0972067039106146
2014-03-01,171,2015,0.13863089095287237,0.7457492967493689,-0.4342799988936792,2.033092535259718
2014-04-01,176,1967,0.12772727272727272,0.7532368010260453,-0.4625788698136041,2.0745454545454547
2014-05-01,172,1990,0.1353189174486604,0.763026796306353,-0.4708973920454243,2.027403780769754
2014-06-01,174,1993,0.1324164507341705,0.7606626366976924,-0.4581482934691948,2.0492990498970167
2014-07-01,167,1996,0.14400115431787028,0.8052082646075499,-0.4750570065393447,1.9738114133179425
2014-08-01,173,1958,0.13160371017609893,0.7640685799688585,-0.458847839808147,2.0515526280414034
2014-09-01,175,2019,0.13261083743842364,0.7484002075464221,-0.45208827483714475,2.045911330049261
