period,GEPU_current
2000M01,63.738693062103586
2000M02,58.82088667745444
2000M03,61.289983182325734
2000M04,64.55721374658276
2000M05,87.16459480253637
2000M06,88.42948750593895
2000M07,65.12393422858324
2000M08,54.24016203478452
2000M09,61.000065493329515
2000M10,68.94389417965715
2000M11,109.42086790283845
2000M12,102.67080507608902
2001M01,100.55957177457222
2001M02,100.72120936715591
2001M03,113.30021163355885
2001M04,109.79229281568969
2001M05,84.76484007046965
2001M06,73.92905104129498
2001M07,100.0169884247622
2001M08,85.45194938922008
2001M09,179.71517454957308
2001M10,170.49306384436244
2001M11,126.28022060050024
2001M12,107.96480615705337
2002M01,107.12704146443679
2002M02,89.98519342078774
2002M03,78.66735585819768
2002M04,83.63081054532178
2002M05,79.20124294221351
2002M06,94.53088958752244
2002M07,100.5844859998672
2002M08,107.5654237625032
2002M09,123.02032022775815
2002M10,117.36580916535138
2002M11,122.48390093667513
2002M12,118.91262666108011
2003M01,127.23753209914045
2003M02,134.99483619875792
2003M03,167.58534034124224
2003M04,134.68197903361843
2003M05,105.51837950499537
2003M06,89.81744887919608
2003M07,79.82643220889913
2003M08,69.01383174379993
2003M09,81.50749964932717
2003M10,76.1922772221352
2003M11,72.87746345277522
2003M12,70.91937204172386
2004M01,72.40730181282292
2004M02,71.089918448273
2004M03,78.14513678912155
2004M04,75.704001495426
2004M05,90.56076156559334
2004M06,76.65118127107851
2004M07,73.76335611400906
2004M08,68.74175613822474
2004M09,79.07552110882784
2004M10,88.53341649165198
2004M11,84.18437534516055
2004M12,65.01050120233155
2005M01,57.63361886568963
2005M02,54.24868827572095
2005M03,54.15100515016813
2005M04,68.27515205676781
2005M05,69.26778357102963
2005M06,70.33363292604467
2005M07,61.34139439726025
2005M08,61.78011529868229
2005M09,93.38001135624901
2005M10,64.2929929176972
2005M11,67.1763572833828
2005M12,61.1205102996905
2006M01,68.6696983629952
2006M02,57.72622982061828
2006M03,58.53212002550869
2006M04,72.78046722379618
2006M05,63.026986021369204
2006M06,73.17051023366297
2006M07,67.51076007817795
2006M08,57.55040530793646
2006M09,59.28234877756481
2006M10,59.99031567715456
2006M11,57.320261294023396
2006M12,56.558087275072864
2007M01,64.86789002394124
2007M02,54.50823808330055
2007M03,63.709665192042564
2007M04,59.93624897228347
2007M05,55.92862923963581
2007M06,56.71075590882901
2007M07,48.95130359371897
2007M08,76.55197583255912
2007M09,99.12844351101401
2007M10,79.20856552414537
2007M11,83.92323491914131
2007M12,94.41608219133087
2008M01,134.25160039083246
2008M02,101.74320317088107
2008M03,117.04495207618899
2008M04,91.72452875236884
2008M05,77.38945229094695
2008M06,87.99179801552528
2008M07,93.74873972521712
2008M08,90.00489666223882
2008M09,167.60610521580728
2008M10,204.7511124249261
2008M11,143.23847874232894
2008M12,146.3445855488973
2009M01,146.61578202031717
2009M02,149.5690129961537
2009M03,132.76657948451364
2009M04,104.2060915837466
2009M05,103.77284172202272
2009M06,109.31519676643177
2009M07,101.24973881277198
2009M08,98.2854705792052
2009M09,100.0556280601079
2009M10,86.36085151131253
2009M11,99.5297433812632
2009M12,98.7852927612836
2010M01,112.95382127992619
2010M02,111.31453971378231
2010M03,106.74096144335924
2010M04,103.39610404286321
2010M05,147.46306901999455
2010M06,133.45960708234833
2010M07,140.9387248216201
2010M08,120.8747563270668
2010M09,133.07083825851186
2010M10,122.16060450690605
2010M11,127.28705015065317
2010M12,129.41084185212247
2011M01,110.24990412432821
2011M02,93.28650980929126
2011M03,125.97369567635421
2011M04,114.68833150556158
2011M05,88.6652862053408
2011M06,116.89946142516514
2011M07,155.21585016980816
2011M08,214.53858735770768
2011M09,190.84195853554536
2011M10,165.04537569915618
2011M11,197.38224697366087
2011M12,181.28505637714517
2012M01,161.01537043090505
2012M02,141.61041635726227
2012M03,134.2733600903167
2012M04,126.43053489640683
2012M05,159.4196509230692
