period,GEPU_current
2017M11,155.13586504519296
2017M12,148.60300971970332
2018M01,150.54032225636487
2018M02,123.82794408923317
2018M03,167.3654195411741
2018M04,155.74715351450885
2018M05,174.6269751770516
2018M06,176.6912191725726
2018M07,220.98321453275003
2018M08,178.870894617466
2018M09,194.23715697961333
2018M10,219.5203133229433
2018M11,244.50619611934647
2018M12,268.47202817984845
2019M01,260.6793313439122
2019M02,204.45372126918951
2019M03,248.64708638564326
2019M04,190.00762277425335
2019M05,238.50363270203127
2019M06,312.9832721404553
2019M07,258.88755873545847
2019M08,314.8906722681006
2019M09,271.89118695757975
2019M10,256.38492281090214
2019M11,251.28556500058968
2019M12,263.8661346900172
2020M01,225.53894401148864
2020M02,227.80821836572918
2020M03,355.3316420842058
2020M04,356.1498232941605
2020M05,428.10366344747234
2020M06,326.4868739828335
2020M07,349.4776609722828
2020M08,299.2356462068119
2020M09,288.88996745559365
2020M10,305.341726412746
2020M11,364.90264936700083
2020M12,293.5482394297267
2021M01,278.6028176105028
2021M02,214.2273683717185
2021M03,213.69956489163823
2021M04,197.52194101659603
2021M05,189.1522637389106
2021M06,177.42421281535664
2021M07,204.23454814426773
2021M08,214.05285283163346
2021M09,204.11632590584617
2021M10,193.50679731962856
2021M11,226.47158628433957
2021M12,263.86641926725565
2022M01,230.45503113052504
2022M02,190.62932873576264
2022M03,327.3523981908217
2022M04,299.3165321912002
2022M05,287.92270670169574
2022M06,272.392055520322
2022M07,313.7275331234233
2022M08,254.98258010922112
2022M09,279.900334165286
2022M10,298.58422022575184
2022M11,329.36641450509165
2022M12,260.5739749718951
2023M01,249.26369124313413
2023M02,245.29361809184115
2023M03,314.6680265951557
2023M04,233.5589371510996
2023M05,228.81427854979617
2023M06,231.4388063179397
2023M07,228.34093841876722
2023M08,213.46043355857896
2023M09,246.49124909282833
