Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2010-01-01,24.49080819667049,91.58102416992188,1802235.38020615,1279704074139.2,4.88031100602,99.710300124,99.8820753831,100.97000130453,8795469.16145533,8.2665555311,113.05513093728015
2010-02-01,18.847336573752603,80.72535705566406,1853261.72308955,1283711886327.43,4.75124077535,100.05849734858,100.1446558263,101.12152574864,8805292.66614001,8.20689733631,111.37677642379523
2010-03-01,28.556672843819303,74.116943359375,1819303.85173079,1300778378518.7,4.88215768521,99.91002417215,99.8685809527,102.10017724659,8882128.28145697,8.18857863023,107.563774619954
2010-04-01,25.487728130899935,88.76158142089844,1811889.13479233,1309634407108.85,4.9780645829,99.82697899344,99.73611412633,95.65931382817,9019701.13004515,8.21021929298,103.82784400416202
2010-05-01,21.410693284279724,88.95870971679688,1774452.82936525,1319176267892.85,5.05778790226,100.4864604204,100.39064510721,96.1089637164,8974806.05348598,8.11685371124,146.92556106038913
2010-06-01,27.382767526527058,96.45369720458984,1824440.49431274,1318711680220.03,4.94416948129,100.79829214616,100.70844574557,96.6664907029,9020343.01241543,8.04554167063,134.13374285556588
2010-07-01,28.694404591104732,79.38137817382812,1857320.0812245,1323057971008.61,4.98275339867,100.46275515089,100.43382522301,98.50510903379,9254567.94713021,8.01969892653,141.94640795621547
2010-08-01,29.789419619928093,80.99386596679688,1863791.97892916,1328879917583.25,4.9814377533,100.29942129913,100.30294716116,98.45688422283,9284363.72814343,7.98866702723,121.06613377422433
2010-09-01,31.495551659198647,71.16854858398438,1900221.39831383,1335530908956.06,5.05737473598,100.05276092489,100.04903611813,99.25784523236,9610131.69260876,7.98391591235,132.6654607029392
2010-10-01,31.012988608100223,65.99193572998047,1931139.88953637,1344291217391.23,5.08256211751,99.33531071586,99.35025881027,103.51405044643,9815138.44617109,8.01670418004,122.84443467042246
2010-11-01,30.492857379602928,94.70516967773438,1992744.85364341,1353028986804.63,4.88100409225,99.38517762509,99.42739268668,103.98305141306,9726595.78544974,7.98115893695,127.55643625223544
2010-12-01,32.20994100495016,97.20389556884766,2000957.35819789,1360730410554.78,4.93688208885,99.65908174568,99.67035347865,103.6565871043,9878490.54223221,7.91607150816,130.45878803160824
2011-01-01,30.23888720895071,79.42161560058594,2078046.40331195,1371230701302.13,4.83493286421,99.37041605781,99.55907387583,105.07325669543,10047214.8487232,7.90040688506,110.53464858595125
2011-02-01,24.95229707911346,90.01448822021484,2110676.2964536,1369901898282.85,4.82962733016,99.22779905637,99.39751607688,105.25299403895,10193779.9264693,7.8806510847,93.99481739558018
2011-03-01,29.94775073276411,136.8883056640625,2103831.21426259,1362270982209.64,4.93053712027,99.02856578936,99.11688946586,104.38934626847,10373017.8966956,7.81126245902,127.24863696462292
2011-04-01,31.694100807688375,91.01776885986328,2081352.26717346,1359282652629.73,5.13242804754,98.65400786822,98.8024201159,110.85425939228,10682390.7528464,7.82641010839,115.89279459373088
2011-05-01,20.822138635142394,105.34491729736328,2147658.5734302,1371672072997.82,4.9893204807,98.66534178704,98.86348678442,109.65086444918,10715356.9059597,7.81926293378,89.15224753600766
2011-06-01,29.773988361077276,84.391845703125,2117011.85584482,1380995774239.55,5.09362773577,98.71844202601,98.81351518938,110.58739605338,10783270.3058874,7.85578393435,117.62375547052456
2011-07-01,30.572540300166757,78.92475891113281,2119706.12945353,1387465151822.29,5.15159796343,98.7012529982,98.96314910204,108.83125233548,10919873.7795728,7.83425225014,156.7749666068204
2011-08-01,30.831003083100306,86.95156860351562,2184086.08787711,1395298960820.16,5.10511498064,98.74508986145,99.03989702712,108.59952533737,11150010.6062307,7.8220303499,215.04025635776983
2011-09-01,21.23505839641059,83.35044860839844,2135657.42836446,1395505533063.12,5.10865582547,99.28735634086,99.54796997492,108.68140611408,10910338.7626214,7.82400251264,190.52202343302585
2011-10-01,36.76591274661064,76.33993530273438,2101559.309259,1397199071070.72,5.2562823719,99.61537190736,99.74420472416,103.17685440659,11046389.1507588,7.75579566504,166.42259733945411
2011-11-01,36.3832367605444,83.15767669677734,2163119.28109014,1400989664790.87,5.07718054851,99.71775053459,99.89033453838,102.90143483434,10982547.1380552,7.77871583579,198.1211777476476
2011-12-01,30.96628897177845,85.34132385253906,2118168.06167255,1411076058740.48,5.16582453063,99.94290027085,100.06976649204,103.08633431151,10942084.5329819,7.76252236272,182.7966282986918
2012-01-01,29.71968929415738,79.63497161865234,2131385.7352499,1413046269507.03,5.19397426996,100.03881560668,100.26344690583,103.11304463039,11070362.6682564,7.72169144196,161.99389161080495
2012-02-01,23.25581395348837,92.4458236694336,2301114.45700115,1425001568100.51,4.87021440957,99.54249581847,99.86696024465,102.56227300363,11206920.7865616,7.76674102835,142.615642592632
2012-03-01,27.713625866050805,88.75997924804688,2143112.32767237,1423742109200.29,5.22884105661,99.49081029071,99.68841059695,103.15395292518,11205993.7278628,7.78331045836,134.69717056856243
2012-04-01,21.945866861741038,96.01668548583984,2094539.25801088,1419040803408.46,5.38605340274,99.54953424217,99.72562590362,99.87259467143,11281300.2977873,7.7050729386,127.52490068212434
2012-05-01,28.601950446259345,78.17115783691406,2163549.32791114,1427901872632.14,5.14852761263,99.88637147889,100.01074347254,100.32570437885,11139093.4560397,7.71442600786,160.4430521832645
2012-06-01,20.71747900992258,77.82243347167969,2091222.60471168,1423980156295.02,5.39715851027,100.18788453543,100.22801043862,100.64692193646,11286659.8778914,7.72705002046,189.43889353391367
2012-07-01,29.370787363030466,82.80802154541016,2115425.05509619,1427091354886.3,5.34870798599,100.17101741037,100.42220961638,99.809073359,11314790.8859582,7.755490553,160.22501100064989
2012-08-01,20.969405293915433,74.87835693359375,2114763.82517593,1425485459319.95,5.41079107519,99.95922650635,100.27589855157,99.91523368738,11442545.2314021,7.75787186815,123.09478602729588
2012-09-01,22.710068130204387,69.28050994873047,2104853.94418507,1421404909544.55,5.4938708399,99.54759596543,99.8606759407,99.8988344393,11563795.7062033,7.69756264018,152.07997238108166
2012-10-01,27.77777777777778,81.66366577148438,2141352.8310988,1428987602165.36,5.41822965738,99.35200124055,99.80132621256,101.45377868455,11602341.4163667,7.73555666587,159.55273615716035
2012-11-01,27.588635830007043,81.38964080810547,2183508.50053287,1431291321208.39,5.32806784212,99.40502146286,99.9076317252,101.32755326753,11633881.4246898,7.75052229616,173.73267978380804
