ISO,Count
ARE,92
ARG,1
AUS,164
AUT,135
BEL,164
BGR,164
BRA,164
CAN,164
CHE,164
CHL,1
CHN,164
CZE,163
DEU,164
DNK,164
ESP,163
EST,106
FIN,164
FRA,164
GBR,164
GRC,42
HRV,2
HUN,164
IDN,43
IND,164
IRL,164
ISR,161
ITA,164
JPN,164
KOR,163
LTU,95
LUX,116
LVA,54
MAR,16
MEX,155
MYS,162
NLD,164
NOR,164
NZL,14
PHL,164
POL,164
PRT,160
ROU,163
RUS,132
SGP,164
SRB,4
SVK,164
SVN,154
SWE,164
THA,137
TUR,164
TWN,164
UKR,20
USA,164
VNM,93
ZAF,162
