Date,Open,High,Low,Close,Adj Close,Volume
2001-08-01,25.583332,26.650000,22.500000,22.946667,19.072180,303000
2001-09-01,22.866667,23.156668,14.963333,15.983333,13.284585,1029000
2001-10-01,15.733333,21.183332,14.966667,19.406668,16.129902,424500
2001-11-01,19.783333,24.000000,19.783333,22.613333,18.795126,7354500
2001-12-01,22.366667,25.466667,21.526667,22.166668,18.423893,1366800
2002-01-01,22.633333,25.330000,21.299999,23.113333,19.210705,3376200
2002-02-01,22.983334,23.346666,20.180000,20.566668,17.094036,1802400
2002-03-01,21.250000,25.506666,21.250000,23.743334,19.734333,3496500
2002-04-01,23.466667,24.690001,20.860001,21.500000,17.869772,3996300
2002-05-01,21.433332,23.049999,18.950001,19.933332,16.567640,2220000
2002-06-01,19.700001,19.700001,14.800000,15.970000,13.273508,4339800
2002-07-01,16.100000,17.183332,12.916667,13.800000,11.469909,2438100
2002-08-01,13.700000,15.273333,11.703333,12.666667,10.527933,2462100
2002-09-01,12.413333,13.066667,9.693333,9.843333,8.181311,3486600
2002-10-01,10.066667,12.493333,8.616667,12.166667,10.112356,4138500
2002-11-01,12.033333,15.600000,11.586667,15.066667,12.522698,4061700
2002-12-01,15.950000,16.000000,11.353333,11.560000,9.608125,9487200
2003-01-01,11.766667,13.576667,10.570000,11.000000,9.142680,4682700
2003-02-01,11.000000,11.950000,10.473333,11.950000,9.932270,8790900
2003-03-01,12.100000,13.146667,10.970000,11.646667,9.680156,7831800
2003-04-01,11.666667,13.623333,11.570000,13.133333,10.915804,4843800
2003-05-01,13.133333,15.216667,12.916667,15.133333,12.578108,4438800
2003-06-01,15.400000,16.446667,14.100000,14.533333,12.079415,4877700
2003-07-01,14.483333,16.733334,14.250000,16.100000,13.381558,5515500
2003-08-01,16.166668,18.796667,14.953333,18.733334,15.570256,16634400
2003-09-01,18.799999,19.613333,17.353333,17.466667,14.517462,12207600
2003-10-01,17.600000,21.193333,17.466667,20.766666,17.261505,11757000
2003-11-01,21.033333,22.233334,20.450001,21.863333,18.173067,8042700
2003-12-01,22.166668,22.236668,19.420000,20.916668,17.386189,9143400
2004-01-01,21.116667,23.556667,20.920000,21.666668,18.009596,8387700
2004-02-01,21.900000,22.666668,20.750000,21.476667,17.851665,5679300
2004-03-01,21.350000,22.153334,19.043333,20.553333,17.084177,7921800
2004-04-01,20.833332,21.833332,18.386667,18.433332,15.322003,4665600
2004-05-01,18.510000,20.393333,18.116667,20.340000,16.906849,3931500
2004-06-01,20.253332,20.410000,18.473333,19.750000,16.416445,5632200
2004-07-01,19.500000,19.500000,15.840000,16.896667,14.044719,9380400
2004-08-01,16.676666,17.000000,14.566667,15.246667,12.673213,7472700
2004-09-01,15.290000,16.920000,14.576667,16.006666,13.304934,15360000
2004-10-01,16.316668,17.216667,15.640000,16.956667,14.094591,8277600
2004-11-01,16.913334,18.363333,16.606667,17.500000,14.546206,8664000
2004-12-01,17.616667,18.773333,17.206667,17.933332,14.906404,10295400
2005-01-01,18.126667,18.133333,15.710000,16.613333,13.809202,17351700
2005-02-01,16.626667,18.336666,16.473333,17.920000,14.895319,7621500
2005-03-01,18.150000,18.326668,16.709999,16.990000,14.122294,8993100
2005-04-01,17.116667,17.176666,15.563333,16.010000,13.307707,7785900
2005-05-01,16.010000,18.000000,15.916667,17.833332,14.823281,10222500
