DATE,GEPUCURRENT
1997-01-01,74.90576597407295
1997-02-01,77.94973783593096
1997-03-01,67.10455305065177
1997-04-01,72.90034072104392
1997-05-01,71.80335024991618
1997-06-01,78.16717633252824
1997-07-01,64.08349660961629
1997-08-01,63.051040255809255
1997-09-01,67.2670135206837
1997-10-01,82.72017325420849
1997-11-01,95.74154234306344
1997-12-01,105.44686553353183
1998-01-01,97.13763848675607
1998-02-01,84.25053736373586
1998-03-01,86.01417304681871
1998-04-01,78.13564917501868
1998-05-01,85.12481867170638
1998-06-01,83.87791084052063
1998-07-01,101.03132940984686
1998-08-01,113.5273765530045
1998-09-01,141.1322555249752
1998-10-01,119.31546788325629
1998-11-01,96.74484889339281
1998-12-01,90.90156947748504
1999-01-01,96.4145231838848
1999-02-01,79.87793998142136
1999-03-01,64.05387458428035
1999-04-01,63.09448220845411
1999-05-01,70.4407213491788
1999-06-01,71.44320105031186
1999-07-01,71.9179400738735
1999-08-01,62.13706297317515
1999-09-01,67.05358082038818
1999-10-01,65.79474566368803
1999-11-01,68.29819711864292
1999-12-01,60.26953482405793
2000-01-01,63.49926182889723
2000-02-01,58.78994385534223
2000-03-01,60.892525658611945
2000-04-01,64.17080282496838
2000-05-01,86.52849624095914
2000-06-01,87.9137211651128
2000-07-01,65.356282444221
2000-08-01,53.735018063397135
2000-09-01,60.59855744369958
2000-10-01,68.96983727758222
2000-11-01,108.85133072468726
2000-12-01,102.02949627419572
2001-01-01,99.92614393975921
2001-02-01,100.16750326706449
2001-03-01,113.00110597498262
2001-04-01,109.15553850499569
2001-05-01,84.69463475554157
2001-06-01,73.68552681031356
2001-07-01,99.66201692159899
2001-08-01,84.97683542639805
2001-09-01,179.3431184267787
2001-10-01,171.08692098945133
2001-11-01,125.54294483590255
2001-12-01,107.79647288383096
2002-01-01,106.46249819493475
2002-02-01,89.76766474392203
2002-03-01,78.87256160764963
2002-04-01,83.34172450027313
2002-05-01,78.8504784452719
2002-06-01,94.06101529880448
2002-07-01,100.00587827709589
2002-08-01,106.65589290694727
2002-09-01,122.41089557132817
2002-10-01,117.14687184590544
2002-11-01,122.17766491401484
2002-12-01,118.6088376865184
2003-01-01,127.33976718356888
2003-02-01,135.85510077361505
2003-03-01,169.30036867704658
2003-04-01,135.1548614861868
2003-05-01,106.08915873406045
2003-06-01,88.80760068597507
2003-07-01,79.50505690933308
2003-08-01,69.00844359405377
2003-09-01,81.23009235617296
2003-10-01,76.43589118278773
2003-11-01,73.1518386485064
2003-12-01,70.49515271161397
2004-01-01,72.56965548947967
2004-02-01,71.39297179631508
2004-03-01,78.11861803078754
2004-04-01,76.38285394502806
2004-05-01,91.30297317234427
2004-06-01,76.8135384873683
2004-07-01,74.03177920215126
2004-08-01,69.13675324581084
2004-09-01,78.88548950910499
2004-10-01,89.18915613767582
2004-11-01,84.46880005143515
2004-12-01,64.97615113248865
2005-01-01,57.82459828102552
2005-02-01,54.34805237507207
2005-03-01,54.08284358693984
2005-04-01,68.70249626663059
2005-05-01,69.35918999030501
2005-06-01,70.0085223348768
2005-07-01,61.423361339053756
2005-08-01,61.471614754783104
2005-09-01,92.87799703566535
2005-10-01,64.67404885812574
2005-11-01,67.36522073133888
2005-12-01,60.625872305514356
2006-01-01,68.72164343659789
2006-02-01,58.19287214435034
2006-03-01,58.34429880400471
2006-04-01,72.90488156348869
2006-05-01,63.12525347444746
2006-06-01,73.50302006771128
2006-07-01,68.05373196592066
2006-08-01,57.361001545087234
2006-09-01,59.27529642871864
2006-10-01,60.04450934123363
2006-11-01,57.22006278186882
2006-12-01,56.875317185666056
2007-01-01,65.55042369935498
2007-02-01,54.6786137218743
2007-03-01,64.00370672711945
2007-04-01,60.55361129486174
2007-05-01,56.72185485022431
2007-06-01,56.93598424844096
2007-07-01,49.22851557455271
2007-08-01,77.55748229525308
2007-09-01,99.92917170056319
2007-10-01,79.91415449136852
2007-11-01,84.62202713000546
2007-12-01,95.53831941361695
2008-01-01,135.17134165750403
2008-02-01,102.19300170563514
2008-03-01,118.28902933838131
2008-04-01,92.0779688046075
2008-05-01,78.16869228411726
2008-06-01,88.71266397339791
2008-07-01,94.62583167241235
2008-08-01,90.2578645963836
2008-09-01,167.81817254616846
2008-10-01,206.04637422707629
2008-11-01,143.46617392341489
