"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20150101","2015","1","201501","12","DZA","Algeria","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","463.603","false","0","false","50962.28","0","50962.28","0","false","true",
"C","M","20150101","2015","1","201501","20","AND","Andorra","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17","false","0","false","651.357",,"651.357","0","false","true",
"C","M","20150101","2015","1","201501","32","ARG","Argentina","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","32270.665","false","0","false","2412685.61","0","2412685.61","0","false","true",
"C","M","20150101","2015","1","201501","36","AUS","Australia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5160661.591","0","5160661.591","0","false","true",
"C","M","20150101","2015","1","201501","40","AUT","Austria","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2338005.748","0","2338005.748","0","false","true",
"C","M","20150101","2015","1","201501","56","BEL","Belgium","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","447.079","true","0","false","479239.953","0","479239.953","6","false","true",
"C","M","20150101","2015","1","201501","68","BOL","Bolivia (Plurinational State of)","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2571","false","5","u","2571","false","102.6","false","0","false","22497.42","21627.69","22497.42","0","false","true",
"C","M","20150101","2015","1","201501","70","BIH","Bosnia Herzegovina","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","798","false","0","false","32296","0","32296","0","false","true",
"C","M","20150101","2015","1","201501","72","BWA","Botswana","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.5","false","8","kg","0.5","false","0.5","false","0","false","62.709","0","62.709","0","false","true",
"C","M","20150101","2015","1","201501","76","BRA","Brazil","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","36884.743","true","0","false","89530463","89078319","89530463","4","false","true",
"C","M","20150101","2015","1","201501","96","BRN","Brunei Darussalam","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","5","u","8","false","0.11","true","0","false","103.102","0","103.102","4","false","true",
"C","M","20150101","2015","1","201501","100","BGR","Bulgaria","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2300","false","0","false","1071223.78","0","1071223.78","0","false","true",
"C","M","20150101","2015","1","201501","112","BLR","Belarus","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","46200","0","46200","0","false","true",
"C","M","20150101","2015","1","201501","124","CAN","Canada","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","24045497.456","24045497.456","0","false","true",
"C","M","20150101","2015","1","201501","152","CHL","Chile","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2593","false","5","u","2593","false","32.774","true","0","false","30270.959","27576.379","30270.959","4","false","true",
"C","M","20150101","2015","1","201501","170","COL","Colombia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","448.11","false","0","false","144436.91","0","144436.91","0","false","true",
"C","M","20150101","2015","1","201501","191","HRV","Croatia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","105","false","0","false","64109","0","64109","0","false","true",
"C","M","20150101","2015","1","201501","196","CYP","Cyprus","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","5616.429",,"5616.429","0","false","true",
"C","M","20150101","2015","1","201501","203","CZE","Czechia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7621082","0","7621082","0","false","true",
"C","M","20150101","2015","1","201501","208","DNK","Denmark","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","3634","false","0","false","1560363.662","0","1560363.662","0","false","true",
"C","M","20150101","2015","1","201501","218","ECU","Ecuador","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","143.445","false","0","false","65456.636","0","65456.636","0","false","true",
"C","M","20150101","2015","1","201501","222","SLV","El Salvador","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","15293.602","true","-1","N/A","0","false","1618.81","false","0","false","35196.44","0","35196.44","2","false","true",
"C","M","20150101","2015","1","201501","231","ETH","Ethiopia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","8","kg","10","false","10","false","0","false","1488.8","0","1488.8","0","false","true",
"C","M","20150101","2015","1","201501","233","EST","Estonia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","330960.711","0","330960.711","0","false","true",
"C","M","20150101","2015","1","201501","246","FIN","Finland","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2970180.013","0","2970180.013","0","false","true",
"C","M","20150101","2015","1","201501","251","FRA","France","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","46048435.623","0","46048435.623","0","false","true",
"C","M","20150101","2015","1","201501","276","DEU","Germany","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","85930.388","true","0","false","130486551.897","0","130486551.897","6","false","true",
"C","M","20150101","2015","1","201501","300","GRC","Greece","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","187","false","0","false","229970.293","0","229970.293","0","false","true",
"C","M","20150101","2015","1","201501","344","HKG","China, Hong Kong SAR","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2071822.48","true","0","false","1842860227.155","0","1842860227.155","4","false","true",
"C","M","20150101","2015","1","201501","352","ISL","Iceland","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8997.172","0","8997.172","0","false","true",
"C","M","20150101","2015","1","201501","360","IDN","Indonesia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","14988.018","true","0","false","14024218","0","14024218","6","false","true",
"C","M","20150101","2015","1","201501","372","IRL","Ireland","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2561","false","0","false","13314677.079","0","13314677.079","2","false","true",
"C","M","20150101","2015","1","201501","376","ISR","Israel","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8479000","0","8479000","0","false","true",
"C","M","20150101","2015","1","201501","380","ITA","Italy","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2480","false","0","false","1626392.651","0","1626392.651","0","false","true",
